"homograph"	"wordid"	"sentence"	"start"	"end"
"abuse"	"abuse_nou"	"Some such suits accuse the Vatican of complicity in sexual abuse by priests and money laundering."	59	64
"abuse"	"abuse_nou"	"Similarly the novel deals with the misuse and abuse of land in the south."	46	51
"abuse"	"abuse_nou"	"In December 1988, he announced a pilot project for substance abuse counselling operated by the YMCA of Metropolitan Toronto."	61	66
"abuse"	"abuse_vrb"	"Marty can already tell how much Judd is going to abuse Shiloh."	49	54
"abuse"	"abuse_nou"	"Advocacy services that encourage victims to establish abuse-free lives."	54	59
"abuse"	"abuse_nou"	"Barros has been accused of complicity in an abuse case there."	44	49
"abuse"	"abuse_nou"	"Some conditions they face include no time off; sexual, physical, and emotional abuse; withholding of wages; and restrictions of movement."	79	84
"abuse"	"abuse_nou"	"This valve is weakened by drug abuse."	31	36
"abuse"	"abuse_nou"	"Tanenbaum notes that MacKinnon misrepresents the prevalence of violence and abuse."	76	81
"abuse"	"abuse_nou"	"Prevention of Mental Disorders, Substance Abuse, and Problem Behaviors: A Developmental Perspective."	42	47
"abuse"	"abuse_vrb"	"Ellen occasionally guesses correctly, causing Kate to become angry and verbally or physically abuse her."	94	99
"abuse"	"abuse_nou"	"However, the stress encountered while recording Fun Terminal, drug abuse, alcoholism, and family commitments changed the scope of the band."	67	72
"abuse"	"abuse_nou"	"She also has a certificate as a sexual abuse counsellor."	39	44
"abuse"	"abuse_nou"	"In running the site, police rescued 85 children from ongoing abuse and arrested hundreds."	61	66
"abuse"	"abuse_vrb"	"But day after day, Ilavarasi's father continues to verbally abuse them and looks at them as thieves."	60	65
"abuse"	"abuse_nou"	"The album's lyrics focus on subjects such as propaganda, Catholic sex abuse cases, terrorism and fame."	70	75
"abuse"	"abuse_nou"	"Sexual abuse can happen because the female wants comfort, she has affiliation needs, she wants power, or sexual gratification."	7	12
"abuse"	"abuse_nou"	"He promised that if elected he would create an office of internal affairs to investigate ""fraud, waste and abuse""."	107	112
"abuse"	"abuse_nou"	"Neighbours described the couple as deranged, both possibly mentally ill, and known for loudness and verbal abuse of their neighbours."	107	112
"abuse"	"abuse_nou"	"Richardson realized the problem of smartphone abuse in classrooms as he was sitting in the back of a large lecture."	46	51
"abuse"	"abuse_nou"	"Jersey Police have so far recorded claims of abuse from 100 people."	45	50
"abuse"	"abuse_nou"	"Mr Burarrwanga's wider interests include Indigenous health, education and social issues, particularly substance abuse, domestic violence and family health."	112	117
"abuse"	"abuse_nou"	"This is how most partners adapt to verbal abuse."	42	47
"abuse"	"abuse_nou"	"Members of all three groups have been involved in child sexual abuse."	63	68
"abuse"	"abuse_nou"	"However, history has still shown the abuse of the vulnerable members of society through medical and psychiatric institutions."	37	42
"abuse"	"abuse_nou"	"On September 30, 2016, Gibbs was acquitted of all charges related to the sexual abuse allegations."	80	85
"abuse"	"abuse_nou"	"This study did not treat substance abuse as a mental health disorder."	35	40
"abuse"	"abuse_nou"	"Developing and implementing AOD abuse prevention strategies."	32	37
"abuse"	"abuse_nou"	"Later after much domestic abuse, his wife Rinki moved out in 1983, and the couple formally divorced in 1990."	26	31
"abuse"	"abuse_nou"	"He chaired the 1992 Orkney child abuse inquiry."	33	38
"abuse"	"abuse_nou"	"His abuse is interrupted by the arrival of Ramvati's son, Jeeva, who intervenes."	4	9
"abuse"	"abuse_nou"	"Princess is a child abuse survivor studies, who was abused several times by her close associates."	20	25
"abuse"	"abuse_nou"	"Gangsterism and drug abuse has increased and a number of informal settlements has sprung up in several areas."	21	26
"abuse"	"abuse_nou"	"Such abuse was unlawful and unacceptable, Naidu said."	5	10
"abuse"	"abuse_nou"	"These claims are backed up by a swelling number of academic studies and insider accounts of misconduct and abuse."	107	112
"abuse"	"abuse_nou"	"Black women were prohibited from defending themselves against any type of abuse, including sexual, at the hands of white men."	74	79
"abuse"	"abuse_vrb"	"Vaishnavi cited that Nitin used to physically abuse her, which forced her to opt for divorce."	46	51
"abuse"	"abuse_nou"	"Victims of child abuse or rape should be allowed sufficient breaks as and when required during the testimony."	17	22
"abuse"	"abuse_nou"	"Victims of The Village: Expose of rural Child Abuse."	46	51
"abuse"	"abuse_vrb"	"In ""Tante Sun"" satirize state official wives who abuse the authority of their husbands."	49	54
"abuse"	"abuse_nou"	"Disqualifying events include convictions for domestic violence and child abuse."	73	78
"abuse"	"abuse_nou"	"Environmental factors in the individual's adolescence include: child abuse, exposure to drugs, lack of supervision, media influence, and peer pressure."	69	74
"abuse"	"abuse_nou"	"This naturally occurring deficiency is one of the most studied genetic vulnerabilities to substance abuse across the field."	100	105
"abuse"	"abuse_nou"	"There has been speculation over whether the new SNDRIs will have an abuse potential like cocaine does."	68	73
"abuse"	"abuse_nou"	"Milwaukee Journal Sentinel, ""Man recounts abuse by priests, says pope should be held accountable,"" 25 March 2010."	42	47
"abuse"	"abuse_nou"	"Child abuse was a problem, and the government continued its efforts to monitor abuse and prosecute offenders."	79	84
"abuse"	"abuse_nou"	"However, ""in many cases of animal advocacy groups versus organisations accused of animal abuse, both sides have cultural claims."""	89	94
"abuse"	"abuse_nou"	"He has worked to fund public education and to protect youth from abuse."	65	70
"abuse"	"abuse_vrb"	"In 2016, John found Skye in his house, learning that Carol continues to abuse Skye and allows her to stay."	72	77
"abuse"	"abuse_nou"	"Bishop Louis Edward Gelineau was criticized for his management of sexual abuse allegations in the Providence Diocese."	73	78
"abuse"	"abuse_nou"	"The bills are designed to protect children from the abuse of restraint and seclusion in school."	52	57
"abuse"	"abuse_nou"	"The Speed Culture: Amphetamine Use and Abuse in America."	39	44
"abuse"	"abuse_nou"	"The Report of the National Commission on Marihuana and Drug Abuse."	60	65
"abuse"	"abuse_nou"	"It smashed taboos surrounding mental health, abuse, sexuality and religion with humor and optimism."	45	50
"abuse"	"abuse_nou"	"Defiance of, or appeals to, the Nationalities Law met with derision or abuse."	71	76
"abuse"	"abuse_nou"	"Allegations included rape, sodomy, fellatio and bizarre acts characteristic of satanic ritual abuse."	94	99
"abuse"	"abuse_nou"	"The charges of third-degree sexual abuse were dropped."	35	40
"abuse"	"abuse_nou"	"We didn't say 'We need a drug song or a child abuse song,' but when they fit, we used them."	46	51
