"homograph"	"wordid"	"sentence"	"start"	"end"
"conglomerate"	"conglomerate_adj-nou"	"Later that year, privately owned O.M. Scott & Sons was purchased by ITT, the international business conglomerate."	100	112
"conglomerate"	"conglomerate_adj-nou"	"Norwich radio station North Norfolk Digital is bought out by a multinational conglomerate, with staff members facing redundancies."	77	89
"conglomerate"	"conglomerate_adj-nou"	"Eugene V. Klein later became CEO of National, and turned it into the conglomerate National General."	69	81
"conglomerate"	"conglomerate_adj-nou"	"In 1981, with the acquisition of its parent conglomerate, Miller's became a part of Allied Stores."	44	56
"conglomerate"	"conglomerate_adj-nou"	"The DYNO brand is now sold by Pacific Cycle a subsidiary of the Canadian conglomerate Dorel Industries."	73	85
"conglomerate"	"conglomerate_adj-nou"	"This channel is a part of Japanese media conglomerate Sony."	41	53
"conglomerate"	"conglomerate_adj-nou"	"For a conglomerate, a rock is considered matrix-supported when clasts constitute less than 15% of its volume."	6	18
"conglomerate"	"conglomerate_adj-nou"	"Today the company is part of the AGCO Allis conglomerate."	44	56
"conglomerate"	"conglomerate_adj-nou"	"In March 2000 Santillana, which publishes over 117 million books each year, was acquired by the Spanish conglomerate PRISA."	104	116
"conglomerate"	"conglomerate_adj-nou"	"The Red Canyon Conglomerate, the basal member of the Moenkopi, fills broad east-flowing paleochannels carved into the Kaibab Limestone."	15	27
"conglomerate"	"conglomerate_adj-nou"	"Creative Eye Limited is an Indian Media conglomerate integrated media and entertainment company."	40	52
"conglomerate"	"conglomerate_adj-nou"	"With over 150 container ships it is part of the Evergreen Group conglomerate of transportation firms and associated companies."	64	76
"conglomerate"	"conglomerate_adj-nou"	"In Cuba and the Dominican Republic, the basic conglomerate unit of a sugar production is usually called an ingenio."	46	58
"conglomerate"	"conglomerate_adj-nou"	"The township was developed by Sime Darby Property, the property development arm of the Malaysian conglomerate, Sime Darby Berhad."	97	109
"conglomerate"	"conglomerate_adj-nou"	"Schimmelbusch was the Chief Executive Officer (1989 to 1993) of Metallgesellschaft, a German industrial conglomerate."	104	116
"conglomerate"	"conglomerate_adj-nou"	"In 1921, the newspaper was purchased by European businessman John Oakshott Robinson who added it to his business conglomerate."	113	125
"conglomerate"	"conglomerate_adj-nou"	"The brand is owned by MTV Networks International (part of the Viacom conglomerate)."	69	81
"conglomerate"	"conglomerate_adj-nou"	"In 1986, Japanese cosmetics conglomerate Kanebo acquired minority a stake in the company."	28	40
"conglomerate"	"conglomerate_adj-nou"	"In 2016, he founded the label THE BLACK LABEL, a subsidiary of K-pop conglomerate YG Entertainment."	69	81
"conglomerate"	"conglomerate_adj-nou"	"The grayish-purple to grayish-red conglomerate and sandstone is cemented largely by hematite and microcrystalline quartz."	34	46
"conglomerate"	"conglomerate_adj-nou"	"The Airlines of Europe conglomerate quickly unravelled, with Norway Airlines following its former UK-based parent into liquidation."	23	35
"conglomerate"	"conglomerate_adj-nou"	"He is a director of conglomerate Aitken Spence PLC."	20	32
"conglomerate"	"conglomerate_adj-nou"	"Seamark Group is a multinational food processing conglomerate wholesale company with offices in Manchester, Chittagong, New Jersey and Brooklyn."	49	61
"conglomerate"	"conglomerate_adj-nou"	"Today, the group is a US$1 billion organization, and one of India's leading business conglomerate."	85	97
"conglomerate"	"conglomerate_adj-nou"	"In the southeast and northwest, conglomerate rock from the Cretaceous period is found."	32	44
