"homograph"	"wordid"	"sentence"	"start"	"end"
"record"	"record_nou"	"Pop Matters gave the record a rating of 6/10."	21	27
"record"	"record_nou"	"Six thousand fans were at the Riverside, a record which is still held today for an away support at Middlesbrough."	43	49
"record"	"record_nou"	"It was released in 1981 by record label Beggars Banquet."	27	33
"record"	"record_nou"	"After finishing third in The X Factor in 2008, Quigg was signed by record label RCA Records."	67	73
"record"	"record_nou"	"Her finishing time of in a 4:12.29 minutes was a championship record."	62	68
"record"	"record_nou"	"He ended the tournament with a 10-5 record and was awarded the special prize for Fighting Spirit."	36	42
"record"	"record_nou"	"GRP Records (Grusin-Rosen Productions) is a jazz record label founded by Dave Grusin and Larry Rosen in 1978."	49	55
"record"	"record_nou"	"Dipanda made her first record with guitar player Jeannot Hens."	23	29
"record"	"record_nou"	"George is the brother of renowned DJ and record producer John Digweed."	41	47
"record"	"record_nou"	"Olwine shares the major league baseball record for most games pitched without a win, at 80."	40	46
"record"	"record_nou"	"He has also been awarded a record four Player of the Year titles: 1999, 2001, 2002, and 2003."	27	33
"record"	"record_nou"	"He now produces under his own record label, Bakerloo."	30	36
"record"	"record_nou"	"Musicraft Records was a record company and label established in 1937 in New York City."	24	30
"record"	"record_nou"	"The first known record of the chapel dates from between 1220 and 1227."	16	22
"record"	"record_nou"	"In 2012 she launched her own record label entitled Swash Music."	29	35
"record"	"record_nou"	"The film performed exceptionally well overseas, collecting record figures unheard of for a heroine-oriented film."	59	65
"record"	"record_vrb"	"In 2005, Robinson rejoined En Vogue for a tour, but departed from the group before they could record another album."	94	100
"record"	"record_nou"	"If two players had an identical record then the result in their match determined their positions."	32	38
"record"	"record_nou"	"The 1974 team was ranked at 10th in the nation, and featured a school record 22-game winning streak."	70	76
"record"	"record_vrb"	"The original multi-channel recorders could only record all tracks at once."	48	54
"record"	"record_vrb"	"Two black women approached Witness 102, mobile phones set to record, asking him to recount what he had witnessed."	61	67
"record"	"record_nou"	"By 1940, they had a record of 338 wins and 12 losses."	20	26
"record"	"record_nou"	"The record of known occurrences therefore may poorly reflect the actual extent of the species distribution."	4	10
"record"	"record_nou"	"At Yale, he was on the editorial staff of campus humor magazine The Yale Record."	73	79
"record"	"record_vrb"	"Some ancient authors record that the city was also called simply Hya."	21	27
"record"	"record_nou"	"Isota Records is an independent record label operated out of Oakland, California."	32	38
"record"	"record_nou"	"During the 2014 event, Formula 3 driver Simon Hodge set a new lap record for the circuit of 2:02.6701."	66	72
"record"	"record_nou"	"Rotterdam records was a Dutch record label begun in 1992."	30	36
"record"	"record_nou"	"The 22 innings bested the previous 21 inning South Atlantic League record."	67	73
"record"	"record_nou"	"He also enlisted record producer Ed Freeman who had produced Don McLean's best selling album American Pie the previous year."	17	23
"record"	"record_vrb"	"The fault sets merge southward to form the Foggy Dew fault zone where mylonites record oblique dextral-normal slip (down-to-E)."	80	86
"record"	"record_nou"	"Exclusive Native's race record was 13: 4-4-3, and his earnings totaled $169,013."	24	30
"record"	"record_nou"	"However the record company insisted on using the T. Rex name on the cover."	12	18
"record"	"record_nou"	"Each record of a linked list is often called an 'element' or 'node'."	5	11
"record"	"record_nou"	"It was this song and that song about my brothers and a couple of songs that didn't make the record."	92	98
"record"	"record_nou"	"He is also a record producer for a number of musical projects."	13	19
"record"	"record_nou"	"Batley's first record ""Starry Eyed"" was released in February 1960, but was not a success."	15	21
"record"	"record_nou"	"He tells of how he used his first savings to buy his first Elvis record at the age of 7."	65	71
"record"	"record_nou"	"The 2013 Pacific hurricane season was the costliest season on record within the East Pacific."	62	68
"record"	"record_nou"	"The first record of a Saltney-based football club was in 1908 when they joined The Combination."	10	16
"record"	"record_nou"	"The hospital's archives, including early patient admission papers, are held at West Sussex Record Office in Chichester."	91	97
"record"	"record_nou"	"The first prize was a record deal with Hot Records."	22	28
"record"	"record_nou"	"The record listed here represents the one given on his official website & Sherdog profile."	4	10
"record"	"record_vrb"	"Kristofferson, impressed with Goodman, introduced him to Paul Anka, who brought Goodman to New York to record some demos."	103	109
"record"	"record_nou"	"Extremes outside the period of record include a discharge of on December 4, 1861, and on February 4, 1890."	31	37
"record"	"record_vrb"	"He made a career-low 3 appearances and failed to record a win for the first time since 1984."	49	55
"record"	"record_vrb"	"He also became the first Seahawks receiver to record 1,000 receiving yards since 2007."	46	52
